timestamp_utc,puuid,tier,old_lp,new_lp,lp_delta
2026-06-25T21:05:32,dOEdgbEToMfXybt1Y6Ux3RgdgXMTzBK5QfWuaer-SaVv9nQtWoA3U_CVNR8-Zx33TSi_zOOcV4KJ_A,master,29,58,29
2026-06-25T21:05:32,PFh6lODIJXEkPlp5kI3t86KT2GdnmsduV_P0klWzowwOzHkO0vd4V17j7mru9O63lzGtKx4tYRD9Dw,master,86,55,-31
2026-06-25T21:05:32,wEW0MbTenZVEA6DeBu7wS7rQskTa5YpfeHrzpBH65WrSmESmVcdT_oOGfgpF9Io_uWEKBnxotw-auA,master,72,46,-26
2026-06-25T21:05:32,lbq3Jc3ayyV3-w-nvNNjXEPWooP_my9T1ccwGL_cTN6tFLzQRRhQdq2hLKBB5mX-iOxfeS0MtidS7A,master,70,40,-30
2026-06-25T21:05:32,D1CrwO2izde6KztT-8QrWjG_bUZcRDZ3SsrkT9Su3BJHIApac6T6EDqH-8LtwdqR65nVwFj1aklaXw,master,7,37,30
2026-06-25T21:05:32,XwhR7dXAkhC31-2mWQWHDPZyk_LYjarEyLoSvVTQm5_3lBIS4c8ENOnG6-KX-i4LMdCrHOCOsypXNw,master,0,29,29
2026-06-25T21:05:32,2C3SLw7Q6R0HOayVzpG68h01yjNuZ8QSy2GxRedN94Jvpy7L8ubKBsV_TJoq0cLU5oM7Io_2jUTU0Q,master,2,0,-2
2026-06-25T21:10:37,h-EBHSsGvsmSLTPlngqpfJQHv-HFKhrVoSPvJgdPKb_v6umzOu9SUcwyNSDUjZwgDzYZh90FDCItvQ,challenger,1033,1065,32
2026-06-25T21:15:35,lGA5PeF2QhW_9XTzDZ8BTvV2sKpCQAou-8Gtyp52Bdz6fm1FWjQClSGzCwRzc0nMih-xcihGrO44AA,challenger,1668,1698,30
2026-06-25T21:15:35,y48TSJND73TGc98bR8z8hNSpd-GJM2MPcr3_t3uSGZie2rletVkd1GOmMuE5yH1HKwkhPpoyLJTYEw,challenger,1365,1334,-31
2026-06-25T21:15:35,xXrsKQoz7JX2tDuXUtNV4O7cUTDm-MU20oStKan-6f0UKR0q4-pxog3Zps2BMeIjAUP-X5W3oekh5g,challenger,1219,1249,30
2026-06-25T21:15:35,_2bEN9URXOGkTTDV7SvI6r9FFXzE5IzwalQylhjfPUPVWdll-nMdjWaTOMqgOrjgOUtSf-LCu25nPg,challenger,970,1000,30
2026-06-25T21:15:35,crXiU3LTS_NitGF6HQsNTeoi37UaN66Rq42YeQnQP7Sj9CDoW6oJ1yUHNYEMLtYNEoLTdX-po0evbw,challenger,891,921,30
2026-06-25T21:15:35,Dcm-EX9pbIao5kEAWrUtuz6x0s1Y4Ar3-k45CwXtP4edAzDTfP6pW5lgen4SD1XY58rU9WUqyT1XTg,challenger,879,909,30
2026-06-25T21:15:35,0anpe51rK3PkEm6TcvGJkDB18rLZu6h0QTL6eBQZqy77ISX7AQcw2z_AyEI0lrXsJZqC2fsVGU3JLQ,challenger,935,905,-30
2026-06-25T21:15:35,qkkfkDa7XWm4ct7nq9-0j2HSuBsyXjxZMRjMpK5Pg_HgIDzShLhz5vkF8mpKQwyLLgxld03AIdlgig,master,400,435,35
2026-06-25T21:15:35,e9UHHSp4auAjxhHwJt3F19_TGv-nyOsO48Jo0-8UJW7PWVHRcjbvrzRRDsyGG3NZSv9PDy2-0tI1Vg,master,268,301,33
2026-06-25T21:15:35,QYOSE3ihzWgds1vcCx8clk4QrCL2QpChOWjaDPf3ceKC6tFC-QRaC53YbroPda7tzTkG1sGU_EihHw,master,308,279,-29
2026-06-25T21:15:35,UsQbcR8PrxpwnJQo8xbJrViYoibEuTx5qYK8wDaMRg-CRk7cVJZfD9ZkcKLFRJnYDnIdbH4qtgrvGQ,master,243,274,31
2026-06-25T21:15:35,5Wne5yuioDcMW9CU9zv6C6w8tlzT_grHDFjtV3K00sz69JgoJCbKzBhV9FN3QjY-SxhSvuSeALbkjg,master,218,251,33
2026-06-25T21:15:35,s_hjVYv7bVg7fCLojy61YXjQjU2mRR3AMi8NkaMZHvOqRKhyBuS7W52DLA9eCcMXGnWPSqZd8XQx7Q,master,183,214,31
2026-06-25T21:15:35,35Tageyae8SzeqwcLxLcyxu489q1f9u-Wzdjh--41PGJ0En31RDrEupzfeJSZG1pyX0yAHSMUscLfg,master,210,181,-29
2026-06-25T21:15:35,yvZ6W4p4Eip7s-q2tUjtZGj9BDN7vJRFHGbdyrMvVDFv1hCGZ10dXG5blyoIbTkHYgSR9JSgz67_cA,master,188,160,-28
2026-06-25T21:15:35,5VTmGfniWp07h5FQOTDrH6OncJYx-pfR9XzqVcHD766WuBlTmpc31PxFkbUcAyCFazEoRG-cgIrujQ,master,160,131,-29
2026-06-25T21:15:35,ci-CyVdzh5bb3ywp4ebKqBhBsbjFFcqrMO1ps_92ql4g_P3eBpI0gvPllP3jHEsxqJSEKycuCblfuQ,master,90,120,30
2026-06-25T21:15:35,iQ_NDJUeIpVLZwvYnaYBOARpZdy1RpsV3rHrT28oKP6aqnh6pnAsX9bY8TRkQH-htbzBdXbB0m4fOA,master,124,97,-27
2026-06-25T21:15:35,rS926T8Ac8b8Gmxn-fdJbEvhWe8_oRra5RhJ-8Ao9ZXqiW8UTkR9_tQfo_10CPq722lS219qHZnqFA,master,16,50,34
2026-06-25T21:15:35,D9oIMlCNvbmnbrElAXPO2gIWpFI-tn4VjM1zJvyrxS04x_ZG2lz9zyHtOz8FZvfxYeWhdJ3oFydgvw,master,67,37,-30
2026-06-25T21:15:35,qm44SfCFwByUHBVrte6vvNvvsYF59X0QUdo3g4riotfhRcjB46AtqUDYdK_HthI4HbQoozj_OQ0ObQ,master,0,32,32
2026-06-25T21:15:35,p8m0KBZTmr3LhD4RT5hOpP9KX7mbDmr0L_L1quRJ1RrfSsHARHPsltz3xjt9l8yhfv4DrdtZ1PGZfQ,master,0,29,29
2026-06-25T21:15:35,2r4dOyF2iJzH4Im-LAEPvygUWA6Pqa53u_Hkttt7fd716QfAiCuR3SVaA5dNoED_BSn14xeTgx3n5A,master,0,28,28
2026-06-25T21:15:35,uZSthexXL4qu2xJwa0CatDcKbDtbtvNe-JBjKvnEE6Rnv3PVuV_Kv3MDSuA_E3DERfQAyTa2fuLn9Q,master,26,0,-26
2026-06-25T21:20:43,jtamevkTj3wckn3vkC0NYJsUeqNlWI2OA2geSjdwY1y6Q3DPwfNfe7xOjgPWXDOfsilFZjQpcweyzw,gm,809,840,31
2026-06-25T21:20:43,5wIa5Z32YQP_w7ixPIvftY_17pMxKeQpf27JF-opaRGRNjgm1BZ0uAFLsXiiommVoYMkjP89HBVwCg,gm,740,710,-30
2026-06-25T21:20:43,vX4vgVGQvFGzCA9JOQ-g0gfJ6QrNxvqRUuqu_UwMHBqcm8GVz2XdlCC5ePz-PMx1IzUdeWGkI_Ftvg,gm,660,693,33
2026-06-25T21:20:43,ZcceOv1k4i23gDK-D_mS5CDs55WZGgSMGqtyxlHwulowsuHvSyCuJ2F_NgbZDzkqIIW1StibYZcT4g,gm,465,497,32
2026-06-25T21:20:43,QGVw0Y0n4dbcBcgwbxa_7RQLj43Qo80Jq-ZTtvyEfhlfsgkDaW_6Ha3dnh_nRpL6mD8vWvCttg1Yfw,gm,491,463,-28
2026-06-25T21:20:43,pitl9jOmII7E5ubsPtB6tgQMV4nYQwnaWQcPbIeTyIeRdbT7fdhAxIre4zR2unC93WAkM97qoxXHoQ,gm,409,444,35
2026-06-25T21:20:43,AwoQRv0bgGQdgyHZ0g3sQoNwFa-CI9h5CIdCsdXy6gLX_QbLgVjCPOqMylp7gpBCd8yX1xk2dGGkCg,gm,254,224,-30
2026-06-25T21:25:34,BbZMovq_iMUGS6cEnlZxrSABz6tTKhS116kkOirzJkNxd0rzkL-x4CiILsyZg3_-LOx3yhrLyRfKAA,gm,696,666,-30
2026-06-25T21:25:34,zICRcNVQXP-cXpHfzgVnHRN53tcr09Vkt5Nys2n_SuNaED0rBPsQzuq1cUbiXKFFrNHPT4IbxSfC_g,gm,626,596,-30
2026-06-25T21:25:34,i3g7sk00TtRhaZqmyI-x2YhDZ_zOt9JKJFGqSajUkC5mfhCLNOpX4T_aqNr9_UUzKc_loh9o7LR4Pg,gm,317,288,-29
2026-06-25T21:30:40,LHHgQm9sUv3p5Mn2Hgk4-3ZRju--Cg_WFRwGyayxt-ILrxc50VW1LybuWYQ5o-y_jrSgs5a6vGTDPA,master,347,381,34
2026-06-25T21:30:40,-4HxNo4kTynRsDLZV_KqfHdjlmSE_itfK0S3zC5MwXqflVbL6ETWtJCyX8Jx4MT8Th5xHvJC4DDEVA,master,310,345,35
2026-06-25T21:30:40,PqUktomoG3kcs9qTsKVa54zen1BEWIEYPCHURl6CQ8RWavE0tnrZeeqpLDXZG1Az3ws79wE1NSnhEg,master,241,272,31
2026-06-25T21:30:40,L_CszL_Juq2XYhPjHjb7VGyOeYqYjae9W0cTd_N48-fYU5A5l4faxAhEgF7CpF4CCHtjVAA0wVr2Sg,master,239,209,-30
2026-06-25T21:30:40,jFW6BKAgumZuMUiKxJ17ogFXh7kFbo1rdfUjecH_l4wTxnGCwv4VL-82xi5u6R1zcXuQaqn9GTjy8g,master,81,112,31
2026-06-25T21:30:40,crlp0NT5FsNkpGR6y0ChquZKirph7gMTVvjB_XiQ9ejazEDra3WTCOZu2geSFTPlCn2xLFneGZP4bA,master,35,70,35
2026-06-25T21:30:40,CWhPUsxCsm06MA-h8l4cOiYlSAvYZjPYfR2HiHHx5_E9rV6nGDNNjDw-9DhbVSitLvEl08_kalVZJw,master,31,61,30
2026-06-25T21:30:40,A4WIC3zjhoCT3P3jnH9FVRux_sun0JBN0BxDAUvqhvi2VTyjzDjFxZhu2j0QszmqJ7CqLioYKZbbzw,master,3,34,31
2026-06-25T21:30:40,tUNCo1tBMu6Ocj8mhSNZAtHtg6RXLmCj3Otnf3_5mxHTM3M14YaDFyrrtMfvis3xkpAGDcpl_H4Uww,master,31,2,-29
2026-06-25T21:30:40,mAmNuoPcKrcAi4G_5qSl4qD8qs61CmByuj3mDEqPhC5mHlOAC3y4o_Mesyg1ZfQoNhLZA_wyioF5CA,master,8,0,-8
2026-06-25T21:35:35,9BZiwljKPA33mp4YS-IR-FA3kMFVrsjMwaFZvatjLIteUKwnXAr35rYzEUCqlDSizeGmipCsYpxTtA,challenger,1622,1653,31
2026-06-25T21:35:35,QBaCNNzLMgMKyb5fggUJznXOew3ycHYJtLio5ks515f9v8BPvCKSb8M5Dn7UXzbPinGNW8m3AGHQ4g,challenger,1449,1479,30
2026-06-25T21:35:35,a3pvDj5X9cGMJKf0MV-U69X-UVDygdIH6g1pJAU6KCuH-JJnTizVFnt2hfwOZ118DIiiXV0tnPX5sg,challenger,1313,1347,34
2026-06-25T21:35:35,dMFNRRHFl7wW1YcFynLQ7FIWSCdyqPN_xUo6lmXtclMalx6yKtmIrEL6dvpODRobhYrRjIFhHqdY6A,challenger,990,1024,34
2026-06-25T21:35:35,qI32l3r4sV0Lx75RmJFw0Xu-3W0FBIyNuyLyBmTKbWdf2I0f5_t2-M9yOgbE1lzjIPSkANeTYejWNw,gm,741,710,-31
2026-06-25T21:35:35,7p0apvdSUPlbcumGa59aM6c_JPbJKMFVhi7Dksf6IMSmstvZGLnElmY8QuNAPHaLOleJEWs692wU9w,gm,578,548,-30
